FIPSCODE,elevation,duration_mins_decimal,AHRF_USDA_RUCC_2013,ACS_PCT_MOBILE_HOME,ACS_PCT_NON_CITIZEN,ACS_PCT_DIVORCE_SEPARAT,ACS_PCT_FOOD_STAMP,ACS_PCT_VA_POOR,ACS_PCT_NONVA_POOR,ACS_PCT_VA_DISABLE,ACS_PCT_HH_PUB_ASSIST,Violent crime raw value,Frequent mental distress raw value,mean_temp,PM2.5,temperature_humid_index
41037,0.4397958558287507,0.07930923897726941,0.7777777777777778,0.21978,0.01288,0.1971399999999999,0.20092,0.18391,0.17251,0.3180099999999999,0.0211799999999999,0.0,0.1336732469,0.4434172984929236,0.5597826086956522,0.4708435323628434
41053,0.11659172837236254,0.02059260842946133,0.2222222222222222,0.07654,0.05027,0.12637,0.17463,0.09412,0.16221,0.17156,0.0428099999999999,0.1397707920327573,0.1220045733,0.5937865940994647,0.3804347826086957,0.5663718940544662
41069,0.23832049074832434,0.06510140814958067,1.0,0.20142,0.03156,0.13036,0.18759,0.08,0.18074,0.44,0.0211799999999999,0.2085858148995525,0.1336228236,0.5718724969157922,0.2119565217391304,0.5077584108631251
42005,0.08520957650113382,0.006598575329685815,0.1111111111111111,0.10548,0.0014,0.11778,0.16234,0.14075,0.10702,0.21735,0.03326,0.0574175713574288,0.1216830569,0.5301317992664702,0.2880434782608696,0.4739915705290755
48357,0.24829647706442468,0.05697709448887765,0.7777777777777778,0.1194699999999999,0.1568399999999999,0.08685,0.08975,0.0,0.11094,0.2,0.00203,0.1139436453761428,0.1113908193,0.6473684545197542,0.2282608695652174,0.5333692678396756
48359,0.3195965032510405,0.03559732169755396,0.2222222222222222,0.16452,0.00909,0.10354,0.06641,0.0,0.1246,0.58824,0.00949,0.0553913424730791,0.1128025043,0.6674632205211986,0.1739130434782609,0.5621094110654653
48367,0.088934204734763,0.02001924179551219,0.1111111111111111,0.17859,0.02881,0.1255899999999999,0.07954,0.04179,0.07696,0.16679,0.02255,0.0630937878841432,0.1009316756,0.7647534989766771,0.375,0.6906483069359552
48379,0.04256160819251063,0.021544980126529382,0.8888888888888888,0.23263,0.02083,0.1628,0.10182,0.19904,0.10993,0.18225,0.01824,0.0958766484494372,0.108472506,0.7602136554505337,0.3695652173913044,0.736639636244367
48381,0.29710665752920923,0.014645144362056732,0.2222222222222222,0.07261,0.03024,0.13393,0.06644,0.03934,0.09293,0.13484,0.01159,0.3003400799355115,0.1040781988,0.6572658914207667,0.233695652173913,0.5878210494552685
48393,0.22793220452304144,0.04806561646631228,1.0,0.07543,0.0,0.10951,0.0418,0.66667,0.04724,0.66667,0.0096499999999999,0.1643202042658265,0.0971381557,0.6430736847515515,0.217391304347826,0.5878210494552685
48397,0.04986321671931848,0.015539207587875725,0.1111111111111111,0.049,0.04856,0.0886899999999999,0.04063,0.0803,0.0504999999999999,0.12971,0.00613,0.0539202718241438,0.0969030447,0.7842211945281852,0.3967391304347827,0.744080164334981
